subj,trial,id,f1_l,f2_l,f3_l,f1_r,f2_r,f3_r,resp,rt,n,nd,nc,critical,train
s102,42,87,0,1,0,1,1,0,0.425999985,6.9737,2,1,1,TRUE,TRUE
s102,43,74,1,1,0,0,0,1,0.004000015,4.6234,3,3,0,FALSE,FALSE
s102,44,67,0,1,1,1,1,0,0.229000015,11.4411,3,2,1,FALSE,TRUE
s102,45,54,1,1,1,0,0,1,0.187000046,6.2972,3,2,1,FALSE,TRUE
s102,46,61,0,1,1,1,0,0,0.002999992,4.6051,3,3,0,FALSE,FALSE
s102,47,24,0,0,0,0,0,1,0.637000046,5.6475,2,1,1,FALSE,TRUE
s102,48,63,0,1,1,1,0,1,0.185,6.8001,3,2,1,FALSE,TRUE
s102,49,55,1,1,1,1,1,1,0.996000061,4.7344,3,0,3,FALSE,FALSE
s102,50,18,1,0,0,0,1,0,0.001000023,4.4011,2,2,0,FALSE,FALSE
s102,51,27,0,0,0,1,1,0,0.002000008,4.1951,2,2,0,FALSE,FALSE
s102,52,62,0,1,1,0,0,0,0.208000031,5.4147,3,2,1,FALSE,TRUE
s102,53,65,0,1,1,1,1,1,0.630999985,5.1491,3,1,2,TRUE,TRUE
s102,54,58,1,1,1,0,1,0,0.209000015,8.0036,3,2,1,FALSE,TRUE
s102,55,64,0,1,1,0,0,1,0.609000015,5.6738,3,1,2,FALSE,TRUE
s102,56,83,0,1,0,1,0,1,0.001000023,5.2869,3,3,0,FALSE,FALSE
s102,57,46,0,0,1,0,1,1,0.674000015,6.0851,3,1,2,FALSE,TRUE
s102,58,88,0,1,0,0,1,0,0.996000061,4.4231,2,0,2,FALSE,FALSE
s102,59,78,1,1,0,0,1,0,0.439000015,6.0175,2,1,1,TRUE,TRUE
s102,60,73,1,1,0,1,0,1,0.387000046,6.4829,3,2,1,FALSE,TRUE
s102,61,44,0,0,1,0,0,1,0.996000061,3.342,2,0,2,FALSE,FALSE
s102,62,17,1,0,0,1,1,0,0.480999985,6.0185,2,1,1,FALSE,TRUE
s102,63,38,1,0,1,0,1,0,0.006000023,5.815,3,3,0,FALSE,FALSE
s102,64,21,0,0,0,1,0,0,0.016000023,7.8574,1,1,0,TRUE,FALSE
s102,65,81,0,1,0,1,0,0,0.006000023,6.648,2,2,0,FALSE,FALSE
s102,66,72,1,1,0,0,0,0,0.012000008,4.7042,2,2,0,FALSE,FALSE
s102,67,26,0,0,0,0,1,1,0.345999985,5.3913,3,2,1,FALSE,TRUE
s102,68,86,0,1,0,0,1,1,0.725,5.1432,3,1,2,FALSE,TRUE
s102,69,42,0,0,1,0,0,0,0.715999985,4.0179,2,1,1,FALSE,TRUE
s102,70,21,0,0,0,1,0,0,0.006000023,3.6924,1,1,0,TRUE,FALSE
s102,71,17,1,0,0,1,1,0,0.580999985,3.2206,2,1,1,FALSE,TRUE
s102,72,62,0,1,1,0,0,0,0.099000015,6.8505,3,2,1,FALSE,TRUE
s102,73,24,0,0,0,0,0,1,0.685,3.5704,2,1,1,FALSE,TRUE
s102,74,83,0,1,0,1,0,1,0.012999992,4.7642,3,3,0,FALSE,FALSE
s102,75,84,0,1,0,0,0,1,0.253000031,4.6002,3,2,1,FALSE,TRUE
s102,76,75,1,1,0,1,1,1,0.81,6.0148,3,1,2,FALSE,TRUE
s102,77,66,0,1,1,0,1,1,0.995,3.6654,3,0,3,FALSE,FALSE
s102,78,15,1,0,0,1,1,1,0.099000015,6.1283,3,2,1,FALSE,TRUE
s102,79,36,1,0,1,0,1,1,0.019000015,4.6682,3,2,1,FALSE,TRUE
s102,80,45,0,0,1,1,1,1,0.007000008,6.5562,3,2,1,FALSE,TRUE
s102,81,47,0,0,1,1,1,0,0.004000015,3.8844,3,3,0,FALSE,FALSE
s102,82,56,1,1,1,0,1,1,0.844000092,7.3635,3,1,2,TRUE,TRUE
s102,83,82,0,1,0,0,0,0,0.635999985,6.1098,2,1,1,FALSE,TRUE
